entry_timestamp_ns,exit_timestamp_ns,entry_event_index,exit_event_index,sleeve_id,sleeve,side,entry_reason,exit_reason,execution_type,portfolio_weight,forecast_edge_bps,signal_expected_edge_bps,ml_win_probability,score,conviction,entry_fill_price,exit_fill_price,entry_mid_price,exit_mid_price,entry_spread_bps,exit_spread_bps,gross_pnl_bps,transaction_cost_bps,execution_haircut_bps,adverse_selection_bps,net_pnl_bps,weighted_net_pnl_bps,sleeve_inventory_after_trade,entry_feature_spread_bps_1s,entry_feature_spread_bps_100ms,entry_feature_side_imbalance_100ms,entry_feature_side_imbalance_1s,entry_feature_side_microprice_edge_100ms_bps,entry_feature_side_microprice_edge_1s_bps,entry_feature_quote_rate_1s_scaled,entry_feature_avg_bid_size_1s_scaled,entry_feature_avg_ask_size_1s_scaled,entry_feature_regime_quality,entry_feature_conviction,entry_feature_abs_score,entry_feature_signal_expected_edge_bps
1776259825870000000,1776259825880000000,2588,2589,0,Market Making,long,signal_entry,take_profit,passive,0.61981773,1.52748204,1.52748204,0.50000000,0.65570149,1.00000000,500.14314000,500.25339000,500.19814000,500.19839000,2.19917062,2.19917018,2.20436893,0.06000000,1.93933615,0.00000000,0.20503279,0.12708296,0.00000000,2.19917062,2.19913234,0.64426578,0.63654633,0.70841286,0.69993700,0.98000000,0.02700000,0.00598980,0.00000000,1.00000000,0.65570149,1.52748204
1776259826360000000,1776259826370000000,2637,2638,0,Market Making,long,signal_entry,take_profit,passive,0.58448339,1.52137164,1.52137164,0.50000000,0.64369590,1.00000000,500.15342400,500.26357800,500.20842400,500.20857800,2.19912709,2.19912663,2.20240420,0.06000000,1.93930131,0.00000000,0.20310289,0.11871027,0.00000000,2.19912709,2.19908539,0.62881140,0.63534299,0.69140499,0.69859999,0.97000000,0.02697938,0.00601031,0.00000000,1.00000000,0.64369590,1.52137164
1776259828800000000,1776259828810000000,2881,2882,0,Market Making,long,signal_entry,take_profit,passive,0.38227064,0.64828765,1.47502054,0.50000000,0.52175203,1.00000000,500.11397200,500.22416400,500.16897200,500.16916400,2.19925764,2.19925762,2.20333776,0.06000000,1.93940610,0.00000000,0.20393167,0.07795709,0.00000000,2.19925764,2.19925677,0.68750000,0.00755495,0.75599452,0.00830763,0.91000000,0.01367033,0.01342857,0.00000000,1.00000000,0.52175203,1.47502054
1776259829360000000,1776259829370000000,2937,2938,0,Market Making,long,signal_entry,take_profit,passive,0.59341373,0.65446660,1.49263519,0.50000000,0.57519393,1.00000000,500.12685400,500.23705500,500.18185400,500.18205500,2.19924097,2.19924055,2.20346096,0.06000000,1.93939244,0.00000000,0.20406853,0.12109707,0.00000000,2.19924097,2.19920289,0.62869115,0.37371510,0.69130971,0.41094252,0.97000000,0.02143299,0.00909278,0.00000000,1.00000000,0.57519393,1.49263519
1776259829800000000,1776259829810000000,2981,2982,0,Market Making,long,signal_entry,take_profit,passive,0.76234596,0.66839998,1.53240088,0.50000000,0.66529361,1.00000000,500.13410600,500.24427900,500.18910600,500.18927900,2.19920412,2.19920373,2.20286916,0.06000000,1.93936298,0.00000000,0.20350618,0.15514212,0.00000000,2.19920412,2.19916825,0.65714286,0.63599610,0.72258385,0.69934261,0.91000000,0.02700000,0.00600000,0.00000000,1.00000000,0.66529361,1.53240088
1776259830420000000,1776259830430000000,3043,3044,0,Market Making,long,signal_entry,take_profit,passive,0.52350239,0.66564892,1.52452504,0.50000000,0.64989939,1.00000000,500.14805100,500.25825400,500.20305100,500.20325400,2.19915162,2.19915113,2.20340757,0.06000000,1.93932091,0.00000000,0.20408666,0.10683985,0.00000000,2.19915162,2.19910785,0.63673500,0.63613707,0.70012445,0.69948094,0.93000000,0.02701075,0.00600000,0.00000000,1.00000000,0.64989939,1.52452504
1776259831050000000,1776259831060000000,3106,3107,0,Market Making,long,signal_entry,take_profit,passive,0.72299447,0.66498344,1.52258247,0.50000000,0.64611899,1.00000000,500.15904500,500.26926800,500.21404500,500.21426800,2.19909674,2.19909634,2.20375901,0.06000000,1.93927707,0.00000000,0.20448193,0.14783931,0.00000000,2.19909674,2.19906100,0.63198757,0.63542362,0.69488960,0.69867899,0.96000000,0.02694792,0.00600000,0.00000000,1.00000000,0.64611899,1.52258247
1776259831500000000,1776259831510000000,3151,3152,0,Market Making,long,signal_entry,take_profit,passive,0.44247225,0.66816396,1.53161294,0.50000000,0.66396931,1.00000000,500.16965500,500.27985500,500.22465500,500.22485500,2.19905582,2.19905534,2.20325241,0.06000000,1.93924427,0.00000000,0.20400814,0.09026794,0.00000000,2.19905582,2.19901196,0.65517241,0.63667456,0.72036599,0.70004145,0.91000000,0.02700000,0.00598901,0.00000000,1.00000000,0.66396931,1.53161294
1776259832100000000,1776259832110000000,3211,3212,0,Market Making,long,signal_entry,take_profit,passive,0.38835969,0.67378699,1.54764515,0.50000000,0.69552779,1.00000000,500.18000800,500.29022700,500.23500800,500.23522700,2.19900210,2.19900170,2.20358667,0.06000000,1.93920136,0.00000000,0.20438531,0.07937502,0.00000000,2.19900210,2.19896645,0.69696970,0.63653169,0.76630649,0.69986727,0.91000000,0.02700000,0.00598901,0.00000000,1.00000000,0.69552779,1.54764515
1776259832510000000,1776259832520000000,3252,3253,0,Market Making,long,signal_entry,take_profit,passive,0.42699250,0.66158532,1.51273521,0.50000000,0.62694589,1.00000000,500.18979700,500.30001300,500.24479700,500.24501300,2.19896748,2.19896700,2.20348357,0.06000000,1.93917360,0.00000000,0.20430997,0.08723882,0.00000000,2.19896748,2.19892390,0.60661765,0.63547585,0.66695303,0.69869538,0.92000000,0.02700000,0.00601087,0.00000000,1.00000000,0.62694589,1.51273521
1776259833030000000,1776259833040000000,3304,3305,0,Market Making,long,signal_entry,take_profit,passive,0.48380201,0.66952121,1.53536644,0.50000000,0.67154818,1.00000000,500.19864100,500.30882100,500.25364100,500.25382100,2.19892157,2.19892117,2.20272490,0.06000000,1.93913694,0.00000000,0.20358796,0.09849626,0.00000000,2.19892157,2.19888570,0.66498891,0.63729893,0.73111730,0.70068518,0.94000000,0.02706383,0.00598936,0.00000000,1.00000000,0.67154818,1.53536644
1776259833640000000,1776259833650000000,3365,3366,0,Market Making,long,signal_entry,take_profit,passive,0.67809805,0.62297792,1.40237386,0.50000000,0.40959644,1.00000000,500.21130000,500.32127200,500.26630000,500.26627200,2.19886947,2.19886905,2.19851091,0.06000000,1.93909524,0.00000000,0.19941567,0.13522338,0.00000000,2.19886947,2.19882868,0.32439560,0.62004411,0.35664518,0.68169837,0.95000000,0.02655789,0.00616842,0.00000000,1.00000000,0.40959644,1.40237386
