date,symbol,file_path,row_count,first_timestamp_ns,last_timestamp_ns,duration_minutes,min_bid,max_ask,mean_spread,median_spread,min_spread,max_spread,status
2026-04-15,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_15.csv,344213,1776259800009609143,1776263399847860331,59.9973,674.310000,716.070000,2.03558311,0.57524987,0.14348746,600.69908946,ok
2026-04-16,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_16.csv,438305,1776346200013833879,1776349799919198708,59.9984,680.000000,722.100000,1.97735407,0.57206602,0.14259945,600.52777976,ok
2026-04-17,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_17.csv,287100,1776432600009872129,1776436199926516757,59.9986,684.900000,727.350000,2.73955121,1.83980923,0.14096718,601.16834838,ok
2026-04-20,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_20.csv,325879,1776691800006988698,1776695399990197806,59.9997,687.440000,730.030000,2.93014567,1.83479764,0.14086392,600.92982568,ok
2026-04-21,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_21.csv,283320,1776778200008563307,1776781799699349616,59.9948,688.970000,731.640000,2.51263731,0.84511803,0.14059457,600.72785634,ok
2026-04-22,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_22.csv,315005,1776864600012524534,1776868199912450638,59.9983,687.700000,730.310000,2.52454807,0.70589066,0.14071526,600.98306782,ok
2026-04-23,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_23.csv,314051,1776951000014922025,1776954599957573792,59.9990,688.150000,730.770000,3.42887752,2.81888654,0.14059457,600.73858991,ok
2026-04-24,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_24.csv,217376,1777037400015743875,1777040999986068965,59.9995,689.340000,717.660000,5.23718159,4.78677723,0.14074893,307.94720905,ok
2026-04-27,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_27.csv,506275,1777296600010217236,1777300199921658896,59.9985,691.690000,734.540000,1.80504473,0.56061668,0.13997662,600.88485027,ok
2026-04-28,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_28.csv,509319,1777383000017518167,1777386599999906260,59.9997,690.490000,733.260000,1.73876002,0.56170308,0.14029082,600.80772608,ok
2026-04-29,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_29.csv,154319,1777469400021900056,1777472999804143819,59.9964,689.600000,732.310000,5.36984720,4.64360344,0.14051950,600.74125648,ok
2026-04-30,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_04_30.csv,678202,1777555800012561191,1777559399987226770,59.9996,693.230000,736.180000,2.77292180,0.98407901,0.13992766,600.94724397,ok
2026-05-01,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_01.csv,443002,1777642200017423675,1777645799995245097,59.9996,699.580000,742.890000,2.30830769,0.69124265,0.13796434,600.49775732,ok
2026-05-04,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_04.csv,357549,1777901400009067678,1777904999996015442,59.9998,698.390000,741.640000,2.37021768,0.83163541,0.13856269,600.68193024,ok
2026-05-05,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_05.csv,417309,1777987800006201063,1777991399963175657,59.9993,700.020000,743.360000,1.84526509,0.55374052,0.13820076,600.53485569,ok
2026-05-06,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_06.csv,493077,1778074200009369057,1778077799934938347,59.9988,706.330000,750.100000,2.31991980,0.68575347,0.13685975,601.05875325,ok
2026-05-07,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_07.csv,285491,1778160600028108660,1778164199791254090,59.9961,713.020000,757.190000,2.45041422,0.68139850,0.13604794,600.86654287,ok
2026-05-08,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_08.csv,417546,1778247000009908618,1778250599935623195,59.9988,712.710000,756.860000,2.28348668,0.67825580,0.13558862,600.85603272,ok
2026-05-11,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_11.csv,451071,1778506200039782340,1778509799984391229,59.9991,714.330000,758.560000,1.82740549,0.54138188,0.13521096,600.58795973,ok
2026-05-12,SPY,/home/boss1000/Projects/HFT Training/Portfolio Quotes/SPY_open60/spy_2026_05_12.csv,517446,1778592600009133328,1778596199815978204,59.9968,714.800000,759.040000,2.63315307,1.08806528,0.13572296,600.33653585,ok
