portfolio_mode,seed,adverse_selection_bps,date,symbol,row_count,prefix,processed_quotes,completed_trades,total_net_return_bps,max_drawdown_bps,minute_return_sharpe,latency_expired_signals
mm-only,2027,0.5,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_0p5/qqq_2026_03_20,1201432,601,78.3077,10.5259,0.3680,0
mm-only,9001,0.5,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_0p5/qqq_2026_03_03,1205769,911,124.5168,13.4906,0.4603,0
mm-only,9001,0.5,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_0p5/qqq_2026_03_19,1219556,1168,197.1702,21.2150,0.5694,0
mm-only,9001,0.5,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_0p5/qqq_2026_03_20,1201432,597,65.1170,9.1213,0.3355,0
mm-only,1337,1.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_1p0/qqq_2026_03_03,1205769,551,-45.0689,57.8659,-0.1867,0
mm-only,1337,1.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_1p0/qqq_2026_03_19,1219556,667,-72.5477,96.1480,-0.2963,0
mm-only,1337,1.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_1p0/qqq_2026_03_20,1201432,482,-21.6005,33.8454,-0.1183,0
mm-only,2027,1.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_1p0/qqq_2026_03_03,1205769,605,-34.8446,54.8459,-0.1257,0
mm-only,2027,1.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_1p0/qqq_2026_03_19,1219556,780,-57.9173,70.5725,-0.2595,0
mm-only,2027,1.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_1p0/qqq_2026_03_20,1201432,38,-12.9106,17.4006,-0.1462,0
mm-only,9001,1.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_1p0/qqq_2026_03_03,1205769,555,-37.1621,46.6355,-0.1658,0
mm-only,9001,1.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_1p0/qqq_2026_03_19,1219556,691,-69.9584,77.8025,-0.3823,0
mm-only,9001,1.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_1p0/qqq_2026_03_20,1201432,476,-31.5113,34.6747,-0.1805,0
mm-only,1337,2.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_2p0/qqq_2026_03_03,1205769,100,-34.2466,38.8329,-0.2786,0
mm-only,1337,2.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_2p0/qqq_2026_03_19,1219556,97,-33.6189,34.5664,-0.4158,0
mm-only,1337,2.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_1337/adv_2p0/qqq_2026_03_20,1201432,37,-24.9247,24.9657,-0.2293,0
mm-only,2027,2.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_2p0/qqq_2026_03_03,1205769,136,-54.8342,58.0916,-0.3383,0
mm-only,2027,2.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_2p0/qqq_2026_03_19,1219556,37,-17.9409,17.9409,-0.2623,0
mm-only,2027,2.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_2027/adv_2p0/qqq_2026_03_20,1201432,37,-34.0890,35.6007,-0.1993,0
mm-only,9001,2.0,2026-03-03,QQQ,1205769,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_2p0/qqq_2026_03_03,1205769,117,-34.4776,39.4502,-0.3275,0
mm-only,9001,2.0,2026-03-19,QQQ,1219556,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_2p0/qqq_2026_03_19,1219556,108,-44.1082,44.2685,-0.4320,0
mm-only,9001,2.0,2026-03-20,QQQ,1201432,/home/boss1000/Projects/HFT Training/build/qqq_stress_3sessions/runs/mm-only/seed_9001/adv_2p0/qqq_2026_03_20,1201432,37,-25.9960,27.4832,-0.2317,0
