date,symbol,file_path,row_count,first_timestamp_ns,last_timestamp_ns,duration_minutes,min_bid,max_ask,mean_spread,median_spread,min_spread,max_spread,status
2026-04-09,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_09.csv,300602,1775741400007633210,1775744999964937268,59.9993,250.990000,266.560000,7.40543745,1.92689365,0.38382559,601.68099701,ok
2026-04-10,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_10.csv,375615,1775827800009453468,1775831399999167789,59.9998,254.440000,270.230000,2.95532055,1.14549724,0.38064062,601.90214802,ok
2026-04-13,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_13.csv,341889,1776087000005683885,1776090599987484433,59.9997,252.430000,268.080000,4.46226899,1.14716173,0.38100318,601.33330772,ok
2026-04-14,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_14.csv,351340,1776173400007176658,1776176999973475632,59.9994,258.970000,275.050000,3.62906758,1.12395332,0.37277963,602.22463578,ok
2026-04-15,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_15.csv,472861,1776259800005277755,1776263399899478346,59.9982,260.610000,276.770000,1.69143867,0.74485122,0.37094052,601.43659980,ok
2026-04-16,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_16.csv,313925,1776346200004812146,1776349799992852990,59.9998,261.230000,277.400000,3.32052490,1.48257969,0.36992509,600.41215677,ok
2026-04-17,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_17.csv,521801,1776432600008005162,1776436199994710486,59.9998,265.540000,276.500000,3.07354028,1.09080993,0.36199750,324.17612952,ok
2026-04-20,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_20.csv,468555,1776691800011218057,1776695399840760173,59.9972,266.320000,282.850000,2.90547282,1.08768559,0.36146103,601.99938088,ok
2026-04-21,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_21.csv,316560,1776778200006237242,1776781799986844480,59.9997,269.800000,286.530000,3.60982426,1.43575018,0.35740453,601.44159042,ok
2026-04-22,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_22.csv,534357,1776864600005043490,1776868199769733898,59.9961,269.050000,285.740000,2.55448020,1.08211445,0.35982225,601.66910002,ok
2026-04-23,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_23.csv,294654,1776951000010914925,1776954599951639229,59.9990,268.370000,285.010000,3.73117124,1.44665461,0.36035387,601.39506307,ok
2026-04-24,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_24.csv,694598,1777037400007609826,1777040999986668881,59.9997,268.290000,284.920000,2.18046783,1.08970051,0.36067880,601.21834385,ok
2026-04-27,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_27.csv,434281,1777296600007342061,1777300199976118455,59.9995,268.470000,285.120000,3.39077173,1.44185711,0.35940841,601.52820680,ok
2026-04-28,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_28.csv,399840,1777383000010837234,1777386599696336971,59.9948,267.850000,284.460000,3.27786369,1.44597477,0.36105645,601.47381000,ok
2026-04-29,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_29.csv,486953,1777469400007821187,1777472999896612826,59.9981,265.580000,282.030000,2.74690606,1.09851883,0.36449126,600.79253483,ok
2026-04-30,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_04_30.csv,557384,1777555800015603691,1777559399602531753,59.9931,264.890000,281.320000,3.79043025,1.46386093,0.36470395,601.60011717,ok
2026-05-01,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_01.csv,442342,1777642200007414492,1777645799906366180,59.9983,270.300000,287.090000,2.92899268,1.08285658,0.35785217,602.45070776,ok
2026-05-04,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_04.csv,605618,1777901400007890374,1777904999989527424,59.9997,270.270000,287.010000,1.73062611,0.71882975,0.35639824,600.77519380,ok
2026-05-05,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_05.csv,471266,1777987800007917902,1777991399987672437,59.9997,271.560000,288.380000,2.08739368,1.06839509,0.35417663,600.77865486,ok
2026-05-06,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_06.csv,553807,1778074200006415137,1778077799998790729,59.9999,276.760000,293.930000,1.88716327,1.05483378,0.34998688,601.72773310,ok
2026-05-07,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_07.csv,498844,1778160600018513792,1778164199913159666,59.9982,278.830000,296.140000,2.37700326,1.05331531,0.34773537,602.11837139,ok
2026-05-08,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_08.csv,433685,1778247000007658110,1778250599973356818,59.9994,275.500000,292.610000,1.83299917,1.05986469,0.35235461,602.34813680,ok
2026-05-11,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_11.csv,460328,1778506200006494687,1778509799880084296,59.9979,276.280000,293.400000,1.59037328,1.04783360,0.34837743,601.03917989,ok
2026-05-12,IWM,/home/boss1000/Projects/HFT Training/Portfolio Quotes/IWM_open60/iwm_2026_05_12.csv,723618,1778592600007190752,1778596199997662573,59.9998,275.110000,292.150000,1.26818637,0.71235219,0.35205689,600.78270987,ok
