date,source_dataset,gross_strategy_return,net_strategy_return,benchmark_return,turnover,trading_cost,cumulative_net_return
2023-08-21,medium_term_alpha\Results\sample_prices.csv,0.005082795289739424,0.005082795289739424,0.006506378149942371,0.0,0.0,1.0007934496980078
2023-08-22,medium_term_alpha\Results\sample_prices.csv,-0.0016594625759428939,-0.0016594625759428939,-0.0027086464678427458,0.0,0.0,0.9991326704219852
2023-08-23,medium_term_alpha\Results\sample_prices.csv,0.0019024309991387954,0.0019024309991387954,0.011137603231051507,0.0,0.0,1.0010334513864483
2023-08-24,medium_term_alpha\Results\sample_prices.csv,5.98467078355247e-05,5.98467078355247e-05,-0.01385890599880768,0.0,0.0,1.0010933599429468
2023-08-25,medium_term_alpha\Results\sample_prices.csv,-0.0014566530360881312,-0.0014566530360881312,0.007049690191138547,0.0,0.0,0.9996351142607782
2023-08-28,medium_term_alpha\Results\sample_prices.csv,0.0010652385282132304,0.0010652385282132304,0.006341598493303957,0.0,0.0,1.0006999640986436
2023-08-29,medium_term_alpha\Results\sample_prices.csv,0.00249684767391388,0.00249684767391388,0.014454650192370133,0.0,0.0,1.0031985594762889
2023-08-30,medium_term_alpha\Results\sample_prices.csv,0.000590358262711792,0.000590358262711792,0.004118837895840999,0.0,0.0,1.0037908060350162
2023-08-31,medium_term_alpha\Results\sample_prices.csv,0.00011083389678148147,0.00011083389678148147,-0.0014635233735001973,0.0,0.0,1.0039020600816024
2023-09-01,medium_term_alpha\Results\sample_prices.csv,-0.0010284690329804746,-0.0010284690329804746,0.0018653578946741245,0.0,0.0,1.0028695779006631
2023-09-05,medium_term_alpha\Results\sample_prices.csv,4.8235493090849064e-05,4.8235493090849064e-05,-0.004322012516252416,0.0,0.0,1.002917951809259
2023-09-06,medium_term_alpha\Results\sample_prices.csv,-0.0018329720477743105,-0.0018329720477743105,-0.006722399949248947,0.0,0.0,1.0010796312373815
2023-09-07,medium_term_alpha\Results\sample_prices.csv,-0.0010454570637141614,-0.0010454570637141614,-0.003070272208474556,0.0,0.0,1.000033045465564
2023-09-08,medium_term_alpha\Results\sample_prices.csv,-0.0008680519724964175,-0.0008680519724964175,0.0015060203525822935,0.0,0.0,0.999164964807886
2023-09-11,medium_term_alpha\Results\sample_prices.csv,-0.0005187467331430162,-0.0005187467331430162,0.006576697106064566,0.0,0.0,0.998646651246521
2023-09-12,medium_term_alpha\Results\sample_prices.csv,-0.00040904899134472925,-0.00040904899134472925,-0.005485636277796413,0.0,0.0,0.9982381558411187
2023-09-13,medium_term_alpha\Results\sample_prices.csv,0.0008223864493505361,0.0008223864493505361,0.0011660173010359376,0.0,0.0,0.9990590933737072
2023-09-14,medium_term_alpha\Results\sample_prices.csv,0.00012663393001766555,0.00012663393001766555,0.008622328143939706,0.0,0.0,0.999185608153021
2023-09-15,medium_term_alpha\Results\sample_prices.csv,-0.0022127781242195607,-0.0022127781242195607,-0.012048297582953005,0.0,0.0,0.996974632097265
2023-09-18,medium_term_alpha\Results\sample_prices.csv,9.020807596190394e-05,9.020807596190394e-05,0.0005865583271187358,0.0,0.0,0.9970645672606093
2023-09-19,medium_term_alpha\Results\sample_prices.csv,-0.0006086494233188144,-0.0006086494233188144,-0.002073822429247363,0.0,0.0,0.9964577044867345
2023-09-20,medium_term_alpha\Results\sample_prices.csv,-0.0017660855389681272,-0.0017660855389681272,-0.009193464135490603,0.0,0.0,0.9946978749446471
2023-09-21,medium_term_alpha\Results\sample_prices.csv,-0.0017358304767941823,-0.0017358304767941823,-0.016528310467607055,0.0,0.0,0.9929712480581159
2023-09-22,medium_term_alpha\Results\sample_prices.csv,0.0008674408423460189,0.0008674408423460189,-0.0022485624534224202,0.0,0.0,0.9938325918739567
2023-09-25,medium_term_alpha\Results\sample_prices.csv,0.0008824855346558235,0.0008824855346558235,0.004205083610846039,0.0,0.0,0.994709634760155
2023-09-26,medium_term_alpha\Results\sample_prices.csv,-0.0004419506476689894,-0.0004419506476689894,-0.0146911628887465,0.0,0.0,0.9942700221928301
2023-09-27,medium_term_alpha\Results\sample_prices.csv,0.0007973975140451728,0.0007973975140451728,0.00039913841105798653,0.0,0.0,0.9950628506368163
2023-09-28,medium_term_alpha\Results\sample_prices.csv,0.0008773682798811144,0.0008773682798811144,0.005797502001731347,0.0,0.0,0.995935887218453
2023-09-29,medium_term_alpha\Results\sample_prices.csv,0.0005709063815876281,0.0005709063815876281,-0.0024270255722664835,0.0,0.0,0.9965044733721181
2023-10-02,medium_term_alpha\Results\sample_prices.csv,-0.000995076001885109,-0.0010550760018851089,-0.0003975708553312085,0.12,6e-05,0.995453085416492
2023-10-03,medium_term_alpha\Results\sample_prices.csv,0.00010378255232099232,0.00010378255232099232,-0.013386107454905871,0.0,0.0,0.9955563960784123
2023-10-04,medium_term_alpha\Results\sample_prices.csv,-0.00224294729167263,-0.00224294729167263,0.007282019426037234,0.0,0.0,0.9933234155561208
